backend,model_asset,solver,schedule,nfe,seed,guidance_scale,num_images,bootstrap_samples,ci_level,schedule_dir,output_dir,clip_score_mean,clip_score_bootstrap_se,clip_score_ci_low,clip_score_ci_high,image_reward_mean,image_reward_bootstrap_se,image_reward_ci_low,image_reward_ci_high
diffusers,hf_stable_diffusion_15,euler,ays,10,1,5.0,50,1000,0.95,schedules/ays_like/published/stable_diffusion_15/nfe_010,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/samples/diffusers/stable_diffusion_15/euler/cfg_5/ays/seed_001/nfe_010,29.915912246704103,0.35033474800195785,29.24267417049408,30.594172041893007,0.28897922080941496,0.11413936484464283,0.07553254087828101,0.52222224427131
diffusers,hf_stable_diffusion_15,euler,ays,10,2,5.0,50,1000,0.95,schedules/ays_like/published/stable_diffusion_15/nfe_010,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/samples/diffusers/stable_diffusion_15/euler/cfg_5/ays/seed_002/nfe_010,29.779816703796385,0.45846210517858654,28.91497349643707,30.690532749176025,0.24826713372021914,0.12288001516758706,0.005419767277315273,0.48380944507662205
diffusers,hf_stable_diffusion_15,euler,base,10,0,5.0,50,1000,0.95,,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/samples/diffusers/stable_diffusion_15/euler/cfg_5/base/seed_000/nfe_010,28.951626014709472,0.5212567020605278,27.89330645942688,29.903647562980648,0.060036044456064704,0.14282267518188493,-0.23411159962415695,0.32692464014235884
diffusers,hf_stable_diffusion_15,euler,base,10,1,5.0,50,1000,0.95,,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/samples/diffusers/stable_diffusion_15/euler/cfg_5/base/seed_001/nfe_010,29.449180297851562,0.37284532945238275,28.735859117507935,30.14759033870697,0.09117373257875443,0.12513828303595512,-0.1482662240676582,0.33062027892470364
diffusers,hf_stable_diffusion_15,euler,base,10,2,5.0,50,1000,0.95,,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/samples/diffusers/stable_diffusion_15/euler/cfg_5/base/seed_002/nfe_010,29.977746772766114,0.4700316178754322,29.073780776023867,30.92972739315033,0.09726429618895054,0.12558202174384056,-0.14602911268547167,0.3459758953731506
diffusers,hf_stable_diffusion_15,euler,GPDE,10,0,7.5,50,1000,0.95,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/schedules/GPDE/diffusers/stable_diffusion_15/euler/cfg_7.5/seed_0/nfe_010,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/samples/diffusers/stable_diffusion_15/euler/cfg_7.5/GPDE/seed_000/nfe_010,29.338610305786133,0.5068290769487559,28.33218535041809,30.32824422073364,0.11917929723858833,0.14648232408173256,-0.1821384200565514,0.39808676242083296
diffusers,hf_stable_diffusion_15,euler,GPDE,10,1,7.5,50,1000,0.95,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/schedules/GPDE/diffusers/stable_diffusion_15/euler/cfg_7.5/seed_1/nfe_010,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/samples/diffusers/stable_diffusion_15/euler/cfg_7.5/GPDE/seed_001/nfe_010,29.662092475891114,0.48887363337149087,28.699167426109312,30.656229294776914,0.046048881146125493,0.13683604430061655,-0.22592546539555766,0.32433343189780134
diffusers,hf_stable_diffusion_15,euler,GPDE,10,2,7.5,50,1000,0.95,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/schedules/GPDE/diffusers/stable_diffusion_15/euler/cfg_7.5/seed_2/nfe_010,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/samples/diffusers/stable_diffusion_15/euler/cfg_7.5/GPDE/seed_002/nfe_010,29.69968029022217,0.49761602130837523,28.800513134002685,30.67333354949951,0.1859317692508921,0.14053538926870046,-0.07341793012933337,0.45423646067525253
diffusers,hf_stable_diffusion_15,euler,ays,10,0,7.5,50,1000,0.95,schedules/ays_like/published/stable_diffusion_15/nfe_010,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/samples/diffusers/stable_diffusion_15/euler/cfg_7.5/ays/seed_000/nfe_010,29.270071144104005,0.5591242747276675,28.135327407836915,30.335827854156495,0.09953025966882706,0.1597412390451679,-0.2400176159925759,0.4103925382085144
diffusers,hf_stable_diffusion_15,euler,ays,10,1,7.5,50,1000,0.95,schedules/ays_like/published/stable_diffusion_15/nfe_010,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/samples/diffusers/stable_diffusion_15/euler/cfg_7.5/ays/seed_001/nfe_010,29.987833099365233,0.42401653061675304,29.19462834072113,30.815168269157407,0.336696763895452,0.12388290784753915,0.11327315573021773,0.5881899619344622
diffusers,hf_stable_diffusion_15,euler,ays,10,2,7.5,50,1000,0.95,schedules/ays_like/published/stable_diffusion_15/nfe_010,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/samples/diffusers/stable_diffusion_15/euler/cfg_7.5/ays/seed_002/nfe_010,29.6915726852417,0.4584005367053805,28.810391755104064,30.65356301498413,0.2735192310810089,0.12007253139603703,0.059797421313822326,0.510172560095787
diffusers,hf_stable_diffusion_15,euler,base,10,0,7.5,50,1000,0.95,,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/samples/diffusers/stable_diffusion_15/euler/cfg_7.5/base/seed_000/nfe_010,29.46943305969238,0.5432129643539588,28.334962644577026,30.438257349967955,0.10775199308991432,0.14155455989657506,-0.18214215105772005,0.38731504129245864
diffusers,hf_stable_diffusion_15,euler,base,10,1,7.5,50,1000,0.95,,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/samples/diffusers/stable_diffusion_15/euler/cfg_7.5/base/seed_001/nfe_010,29.850020637512205,0.4435328056825048,29.031600189208984,30.699630909919737,0.2205248312535696,0.12704084367246954,-0.02094395698717558,0.46697117691859585
diffusers,hf_stable_diffusion_15,euler,base,10,2,7.5,50,1000,0.95,,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/samples/diffusers/stable_diffusion_15/euler/cfg_7.5/base/seed_002/nfe_010,29.873329582214357,0.5135544362990756,28.878044041633608,30.909209656715394,0.27573752485215663,0.12896760808828692,0.045658669164404295,0.5272946493271737
