backend,dataset,model,model_asset,solver,schedule,clock_label,clock_family,estimator,nfe,seed,guidance_scale,num_samples,metric_name,metric_value,fid,kid,clip_score,image_reward,status,error,schedule_dir,output_dir
diffusers,,hf_stable_diffusion_15,hf_stable_diffusion_15,euler,base,,base,,10,1,10.0,50,,,,,29.53358341217041,0.28880912002176046,OK,,,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/samples/diffusers/stable_diffusion_15/euler/cfg_10/base/seed_001/nfe_010
diffusers,,hf_stable_diffusion_15,hf_stable_diffusion_15,euler,ays,,ays_published,,10,2,7.5,50,,,,,29.6915726852417,0.2735192310810089,OK,,schedules/ays_like/published/stable_diffusion_15/nfe_010,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/samples/diffusers/stable_diffusion_15/euler/cfg_7.5/ays/seed_002/nfe_010
diffusers,,hf_stable_diffusion_15,hf_stable_diffusion_15,euler,base,,base,,10,0,10.0,50,,,,,29.35992088317871,0.1688382727280259,OK,,,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/samples/diffusers/stable_diffusion_15/euler/cfg_10/base/seed_000/nfe_010
diffusers,,hf_stable_diffusion_15,hf_stable_diffusion_15,euler,ays,,ays_published,,10,1,7.5,50,,,,,29.987833099365233,0.336696763895452,OK,,schedules/ays_like/published/stable_diffusion_15/nfe_010,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/samples/diffusers/stable_diffusion_15/euler/cfg_7.5/ays/seed_001/nfe_010
diffusers,,hf_stable_diffusion_15,hf_stable_diffusion_15,euler,GPDE,,GPDE,,10,2,10.0,50,,,,,29.875759887695313,0.17927934950217606,OK,,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/schedules/GPDE/diffusers/stable_diffusion_15/euler/cfg_10/seed_2/nfe_010,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/samples/diffusers/stable_diffusion_15/euler/cfg_10/GPDE/seed_002/nfe_010
diffusers,,hf_stable_diffusion_15,hf_stable_diffusion_15,euler,GPDE,,GPDE,,10,0,10.0,50,,,,,29.440774421691895,0.14101881101727487,OK,,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/schedules/GPDE/diffusers/stable_diffusion_15/euler/cfg_10/seed_0/nfe_010,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/samples/diffusers/stable_diffusion_15/euler/cfg_10/GPDE/seed_000/nfe_010
diffusers,,hf_stable_diffusion_15,hf_stable_diffusion_15,euler,GPDE,,GPDE,,10,1,10.0,50,,,,,29.31095188140869,0.13443883880972862,OK,,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/schedules/GPDE/diffusers/stable_diffusion_15/euler/cfg_10/seed_1/nfe_010,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/samples/diffusers/stable_diffusion_15/euler/cfg_10/GPDE/seed_001/nfe_010
diffusers,,hf_stable_diffusion_15,hf_stable_diffusion_15,euler,base,,base,,10,2,10.0,50,,,,,30.127661933898924,0.25841735317371783,OK,,,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/samples/diffusers/stable_diffusion_15/euler/cfg_10/base/seed_002/nfe_010
diffusers,,hf_stable_diffusion_15,hf_stable_diffusion_15,euler,ays,,ays_published,,10,1,10.0,50,,,,,29.653338890075684,0.41766489936504514,OK,,schedules/ays_like/published/stable_diffusion_15/nfe_010,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/samples/diffusers/stable_diffusion_15/euler/cfg_10/ays/seed_001/nfe_010
diffusers,,hf_stable_diffusion_15,hf_stable_diffusion_15,euler,ays,,ays_published,,10,2,10.0,50,,,,,29.57286403656006,0.2574527808651328,OK,,schedules/ays_like/published/stable_diffusion_15/nfe_010,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/samples/diffusers/stable_diffusion_15/euler/cfg_10/ays/seed_002/nfe_010
diffusers,,hf_stable_diffusion_15,hf_stable_diffusion_15,euler,ays,,ays_published,,10,0,10.0,50,,,,,29.467888526916504,0.14715401351451873,OK,,schedules/ays_like/published/stable_diffusion_15/nfe_010,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/samples/diffusers/stable_diffusion_15/euler/cfg_10/ays/seed_000/nfe_010
