evidence_level,backend,dataset,model,solver,nfe,seed_count,seeds,num_samples,metric,metric_direction,base_fid_mean,base_fid_sem,offline_fid_mean,offline_fid_sem,dgpde_fid_mean,dgpde_fid_sem,fid_reduction_mean,fid_reduction_std,fid_reduction_sem,all_seed_reductions_positive,dgpde_minus_offline_mean,dgpde_minus_offline_std,dgpde_minus_offline_sem,all_seed_dgpde_less_than_offline
three_seed_50k_fid,pndm,cifar10,pndm_model_ddim_cifar10,euler,10,3,"0,1,2",50000,FID,lower_is_better,20.565771,0.075021,19.197856,0.085130,17.539309,0.075482,3.026462,0.033531,0.019359,True,-1.658547,0.029499,0.017031,True
three_seed_50k_fid,pndm,cifar10,pndm_model_ddim_cifar10,euler,20,3,"0,1,2",50000,FID,lower_is_better,11.173382,0.074377,10.883802,0.058717,10.709165,0.070886,0.464217,0.007881,0.004550,True,-0.174637,0.101675,0.058702,True
