status,oracle_cache_key,backend,dataset,model_asset,prompt_asset,guidance_scale,seed,solver,nfe,schedule_dir,schedule_hash,edge_objective,oracle_loaded_from_cache,oracle_build_or_load_seconds,per_schedule_oracle_model_eval_equivalents,per_schedule_edge_model_eval_equivalents,per_schedule_total_model_eval_equivalents,schedules_sharing_cache_count,solvers_sharing_cache,nfes_sharing_cache,shared_oracle_model_eval_equivalents,separate_oracle_model_eval_equivalents,shared_total_model_eval_equivalents,separate_total_model_eval_equivalents,saved_model_eval_equivalents,shared_oracle_amortized_model_eval_equivalents,note
OK,5267ed256bdd648369447431,pndm,cifar10,pndm_model_ddim_cifar10,,,2,euler,10,outputs/gpde_pndm_cifar10_50k_nfe10_20_seeds1_2/schedules/GPDE/pndm/cifar10/pndm_model_ddim_cifar10/euler/seed_2/nfe_010,e09cbaecf03cea49,7.420571009540012,False,177.8425977230072,40992,4202496,4243488,2,euler,"10,20",40992,81984,8445984,8486976,40992,4222992.0,
OK,5267ed256bdd648369447431,pndm,cifar10,pndm_model_ddim_cifar10,,,2,euler,20,outputs/gpde_pndm_cifar10_50k_nfe10_20_seeds1_2/schedules/GPDE/pndm/cifar10/pndm_model_ddim_cifar10/euler/seed_2/nfe_020,9f5abfac0eb90118,3.710285504770013,False,182.76502656936646,40992,4202496,4243488,2,euler,"10,20",40992,81984,8445984,8486976,40992,4222992.0,
OK,f2f71d70fffbc26b1a1fd46d,pndm,cifar10,pndm_model_ddim_cifar10,,,1,euler,10,outputs/gpde_pndm_cifar10_50k_nfe10_20_seeds1_2/schedules/GPDE/pndm/cifar10/pndm_model_ddim_cifar10/euler/seed_1/nfe_010,82951c8df37fd744,7.44255465944471,False,182.02025485038757,40992,4202496,4243488,2,euler,"10,20",40992,81984,8445984,8486976,40992,4222992.0,
OK,f2f71d70fffbc26b1a1fd46d,pndm,cifar10,pndm_model_ddim_cifar10,,,1,euler,20,outputs/gpde_pndm_cifar10_50k_nfe10_20_seeds1_2/schedules/GPDE/pndm/cifar10/pndm_model_ddim_cifar10/euler/seed_1/nfe_020,35365a509cecf8a3,3.7212773297223585,False,181.976975440979,40992,4202496,4243488,2,euler,"10,20",40992,81984,8445984,8486976,40992,4222992.0,
