evidence_level,backend,dataset,model,solver,method,nfe,seed,seed_count,num_samples,metric,metric_direction,fid,source_csv,source_output_dir,source_schedule_dir
seed0_50k_fid_no_uncertainty,pndm,cifar10,pndm_model_ddim_cifar10,euler,base,10,0,1,50000,FID,lower_is_better,20.713900,outputs/gpde_pndm_cifar10_50k_nfe10_20_seed0/metrics/gpde_pndm_cifar10_50k_nfe10_20_seed0.csv,outputs/gpde_pndm_cifar10_50k_nfe10_20_seed0/samples/pndm/cifar10/pndm_model_ddim_cifar10/euler/base/nfe_010,
seed0_50k_fid_no_uncertainty,pndm,cifar10,pndm_model_ddim_cifar10,euler,D-GPDE,10,0,1,50000,FID,lower_is_better,17.677288,outputs/gpde_pndm_cifar10_50k_nfe10_20_seed0/metrics/gpde_pndm_cifar10_50k_nfe10_20_seed0.csv,outputs/gpde_pndm_cifar10_50k_nfe10_20_seed0/samples/pndm/cifar10/pndm_model_ddim_cifar10/euler/GPDE/nfe_010,outputs/gpde_pndm_cifar10_50k_nfe10_20_seed0/schedules/GPDE/pndm/cifar10/pndm_model_ddim_cifar10/euler/nfe_010
seed0_50k_fid_no_uncertainty,pndm,cifar10,pndm_model_ddim_cifar10,euler,base,20,0,1,50000,FID,lower_is_better,11.320701,outputs/gpde_pndm_cifar10_50k_nfe10_20_seed0/metrics/gpde_pndm_cifar10_50k_nfe10_20_seed0.csv,outputs/gpde_pndm_cifar10_50k_nfe10_20_seed0/samples/pndm/cifar10/pndm_model_ddim_cifar10/euler/base/nfe_020,
seed0_50k_fid_no_uncertainty,pndm,cifar10,pndm_model_ddim_cifar10,euler,D-GPDE,20,0,1,50000,FID,lower_is_better,10.848666,outputs/gpde_pndm_cifar10_50k_nfe10_20_seed0/metrics/gpde_pndm_cifar10_50k_nfe10_20_seed0.csv,outputs/gpde_pndm_cifar10_50k_nfe10_20_seed0/samples/pndm/cifar10/pndm_model_ddim_cifar10/euler/GPDE/nfe_020,outputs/gpde_pndm_cifar10_50k_nfe10_20_seed0/schedules/GPDE/pndm/cifar10/pndm_model_ddim_cifar10/euler/nfe_020
