evidence_level,backend,dataset,model,solver,method,nfe,seed,step_index,start_timestep,spacing_to_next_start
three_seed_50k_fid_schedule_profile,pndm,cifar10,pndm_model_ddim_cifar10,euler,Karras,20,0,3,940.43254797,32.73352611
three_seed_50k_fid_schedule_profile,pndm,cifar10,pndm_model_ddim_cifar10,euler,Karras,20,0,4,907.69902186,35.54154817
three_seed_50k_fid_schedule_profile,pndm,cifar10,pndm_model_ddim_cifar10,euler,Karras,20,0,5,872.15747369,38.86213090
three_seed_50k_fid_schedule_profile,pndm,cifar10,pndm_model_ddim_cifar10,euler,Karras,20,0,6,833.29534279,42.84817940
three_seed_50k_fid_schedule_profile,pndm,cifar10,pndm_model_ddim_cifar10,euler,Karras,20,0,7,790.44716339,47.72196635
three_seed_50k_fid_schedule_profile,pndm,cifar10,pndm_model_ddim_cifar10,euler,Karras,20,0,8,742.72519704,53.80476734
three_seed_50k_fid_schedule_profile,pndm,cifar10,pndm_model_ddim_cifar10,euler,Karras,20,0,9,688.92042970,61.55677062
three_seed_50k_fid_schedule_profile,pndm,cifar10,pndm_model_ddim_cifar10,euler,Karras,20,0,10,627.36365908,71.56758514
three_seed_50k_fid_schedule_profile,pndm,cifar10,pndm_model_ddim_cifar10,euler,Karras,20,0,11,555.79607394,84.28827674
three_seed_50k_fid_schedule_profile,pndm,cifar10,pndm_model_ddim_cifar10,euler,Karras,20,0,12,471.50779720,98.62511770
three_seed_50k_fid_schedule_profile,pndm,cifar10,pndm_model_ddim_cifar10,euler,Karras,20,0,13,372.88267950,108.25010129
three_seed_50k_fid_schedule_profile,pndm,cifar10,pndm_model_ddim_cifar10,euler,Karras,20,0,14,264.63257821,101.10362253
three_seed_50k_fid_schedule_profile,pndm,cifar10,pndm_model_ddim_cifar10,euler,Karras,20,0,15,163.52895568,75.49869447
three_seed_50k_fid_schedule_profile,pndm,cifar10,pndm_model_ddim_cifar10,euler,Karras,20,0,16,88.03026121,46.57473290
three_seed_50k_fid_schedule_profile,pndm,cifar10,pndm_model_ddim_cifar10,euler,Karras,20,0,17,41.45552831,25.16506863
three_seed_50k_fid_schedule_profile,pndm,cifar10,pndm_model_ddim_cifar10,euler,Karras,20,0,18,16.29045968,11.93519881
three_seed_50k_fid_schedule_profile,pndm,cifar10,pndm_model_ddim_cifar10,euler,Karras,20,0,19,4.35526087,4.35526087
three_seed_50k_fid_schedule_profile,pndm,cifar10,pndm_model_ddim_cifar10,euler,Karras,20,0,20,0.00000000,
three_seed_50k_fid_schedule_profile,pndm,cifar10,pndm_model_ddim_cifar10,euler,D-GPDE,20,0,1,999.00000000,103.47443432
three_seed_50k_fid_schedule_profile,pndm,cifar10,pndm_model_ddim_cifar10,euler,D-GPDE,20,0,2,895.52556568,74.77235633
three_seed_50k_fid_schedule_profile,pndm,cifar10,pndm_model_ddim_cifar10,euler,D-GPDE,20,0,3,820.75320935,60.81459903
three_seed_50k_fid_schedule_profile,pndm,cifar10,pndm_model_ddim_cifar10,euler,D-GPDE,20,0,4,759.93861031,52.71097164
three_seed_50k_fid_schedule_profile,pndm,cifar10,pndm_model_ddim_cifar10,euler,D-GPDE,20,0,5,707.22763867,47.98406748
three_seed_50k_fid_schedule_profile,pndm,cifar10,pndm_model_ddim_cifar10,euler,D-GPDE,20,0,6,659.24357119,45.58993410
three_seed_50k_fid_schedule_profile,pndm,cifar10,pndm_model_ddim_cifar10,euler,D-GPDE,20,0,7,613.65363709,44.40278534
three_seed_50k_fid_schedule_profile,pndm,cifar10,pndm_model_ddim_cifar10,euler,D-GPDE,20,0,8,569.25085175,43.79573377
three_seed_50k_fid_schedule_profile,pndm,cifar10,pndm_model_ddim_cifar10,euler,D-GPDE,20,0,9,525.45511797,44.55309366
three_seed_50k_fid_schedule_profile,pndm,cifar10,pndm_model_ddim_cifar10,euler,D-GPDE,20,0,10,480.90202432,47.59720221
three_seed_50k_fid_schedule_profile,pndm,cifar10,pndm_model_ddim_cifar10,euler,D-GPDE,20,0,11,433.30482211,56.32276794
three_seed_50k_fid_schedule_profile,pndm,cifar10,pndm_model_ddim_cifar10,euler,D-GPDE,20,0,12,376.98205416,104.46533913
three_seed_50k_fid_schedule_profile,pndm,cifar10,pndm_model_ddim_cifar10,euler,D-GPDE,20,0,13,272.51671503,54.07466606
three_seed_50k_fid_schedule_profile,pndm,cifar10,pndm_model_ddim_cifar10,euler,D-GPDE,20,0,14,218.44204897,39.67499177
three_seed_50k_fid_schedule_profile,pndm,cifar10,pndm_model_ddim_cifar10,euler,D-GPDE,20,0,15,178.76705720,34.02649093
three_seed_50k_fid_schedule_profile,pndm,cifar10,pndm_model_ddim_cifar10,euler,D-GPDE,20,0,16,144.74056627,30.87406425
three_seed_50k_fid_schedule_profile,pndm,cifar10,pndm_model_ddim_cifar10,euler,D-GPDE,20,0,17,113.86650202,28.91106286
three_seed_50k_fid_schedule_profile,pndm,cifar10,pndm_model_ddim_cifar10,euler,D-GPDE,20,0,18,84.95543916,27.65070643
three_seed_50k_fid_schedule_profile,pndm,cifar10,pndm_model_ddim_cifar10,euler,D-GPDE,20,0,19,57.30473273,26.87261975
three_seed_50k_fid_schedule_profile,pndm,cifar10,pndm_model_ddim_cifar10,euler,D-GPDE,20,0,20,30.43211298,
