evidence_level,backend,dataset,model,solver,method,nfe,seed,num_samples,metric,metric_direction,fid,source_csv,source_output_dir,source_schedule_dir
three_seed_50k_fid,pndm,cifar10,pndm_model_ddim_cifar10,euler,linear,10,2,50000,FID,lower_is_better,20.512392,outputs/gpde_pndm_cifar10_50k_linear_baseline_seeds0_1_2/metrics/gpde_pndm_cifar10_50k_linear_baseline_seeds0_1_2.csv,outputs/gpde_pndm_cifar10_50k_linear_baseline_seeds0_1_2/samples/pndm/cifar10/pndm_model_ddim_cifar10/euler/linear/seed_002/nfe_010,outputs/gpde_pndm_cifar10_50k_linear_baseline_seeds0_1_2/schedules/linear/pndm/cifar10/pndm_model_ddim_cifar10/euler/nfe_010
three_seed_50k_fid,pndm,cifar10,pndm_model_ddim_cifar10,euler,Karras,10,2,50000,FID,lower_is_better,25.790175,outputs/gpde_pndm_cifar10_50k_karras_baseline_seeds0_1_2/metrics/gpde_pndm_cifar10_50k_karras_baseline_seeds0_1_2.csv,outputs/gpde_pndm_cifar10_50k_karras_baseline_seeds0_1_2/samples/pndm/cifar10/pndm_model_ddim_cifar10/euler/karras/seed_002/nfe_010,outputs/gpde_pndm_cifar10_50k_karras_baseline_seeds0_1_2/schedules/karras/pndm/cifar10/pndm_model_ddim_cifar10/euler/nfe_010
three_seed_50k_fid,pndm,cifar10,pndm_model_ddim_cifar10,euler,offline,10,2,50000,FID,lower_is_better,19.150619,outputs/gpde_pndm_cifar10_authorized_offline/metrics/offline_authorized_seed2_nfe10.csv,outputs/gpde_pndm_cifar10_authorized_offline/samples/pndm/cifar10/pndm_model_ddim_cifar10/euler/offline_authorized/seed_002/nfe_010,outputs/gpde_pndm_cifar10_authorized_offline/schedules/offline_authorized/pndm/cifar10/pndm_model_ddim_cifar10/euler/_stage_bundles/nfe_010
three_seed_50k_fid,pndm,cifar10,pndm_model_ddim_cifar10,euler,D-GPDE,10,2,50000,FID,lower_is_better,17.523363,outputs/gpde_pndm_cifar10_50k_nfe10_20_seeds1_2/metrics/gpde_pndm_cifar10_50k_nfe10_20_seeds1_2.csv,outputs/gpde_pndm_cifar10_50k_nfe10_20_seeds1_2/samples/pndm/cifar10/pndm_model_ddim_cifar10/euler/GPDE/seed_002/nfe_010,outputs/gpde_pndm_cifar10_50k_nfe10_20_seeds1_2/schedules/GPDE/pndm/cifar10/pndm_model_ddim_cifar10/euler/seed_2/nfe_010
three_seed_50k_fid,pndm,cifar10,pndm_model_ddim_cifar10,euler,base,20,0,50000,FID,lower_is_better,11.320701,outputs/gpde_pndm_cifar10_50k_nfe10_20_seed0/metrics/gpde_pndm_cifar10_50k_nfe10_20_seed0.csv,outputs/gpde_pndm_cifar10_50k_nfe10_20_seed0/samples/pndm/cifar10/pndm_model_ddim_cifar10/euler/base/nfe_020,
three_seed_50k_fid,pndm,cifar10,pndm_model_ddim_cifar10,euler,linear,20,0,50000,FID,lower_is_better,11.349835,outputs/gpde_pndm_cifar10_50k_linear_baseline_seeds0_1_2/metrics/gpde_pndm_cifar10_50k_linear_baseline_seeds0_1_2.csv,outputs/gpde_pndm_cifar10_50k_linear_baseline_seeds0_1_2/samples/pndm/cifar10/pndm_model_ddim_cifar10/euler/linear/seed_000/nfe_020,outputs/gpde_pndm_cifar10_50k_linear_baseline_seeds0_1_2/schedules/linear/pndm/cifar10/pndm_model_ddim_cifar10/euler/nfe_020
three_seed_50k_fid,pndm,cifar10,pndm_model_ddim_cifar10,euler,Karras,20,0,50000,FID,lower_is_better,10.811829,outputs/gpde_pndm_cifar10_50k_karras_baseline_seeds0_1_2/metrics/gpde_pndm_cifar10_50k_karras_baseline_seeds0_1_2.csv,outputs/gpde_pndm_cifar10_50k_karras_baseline_seeds0_1_2/samples/pndm/cifar10/pndm_model_ddim_cifar10/euler/karras/seed_000/nfe_020,outputs/gpde_pndm_cifar10_50k_karras_baseline_seeds0_1_2/schedules/karras/pndm/cifar10/pndm_model_ddim_cifar10/euler/nfe_020
three_seed_50k_fid,pndm,cifar10,pndm_model_ddim_cifar10,euler,offline,20,0,50000,FID,lower_is_better,10.970263,outputs/gpde_pndm_cifar10_authorized_offline/metrics/offline_authorized_seed0_nfe20.csv,outputs/gpde_pndm_cifar10_authorized_offline/samples/pndm/cifar10/pndm_model_ddim_cifar10/euler/offline_authorized/seed_000/nfe_020,outputs/gpde_pndm_cifar10_authorized_offline/schedules/offline_authorized/pndm/cifar10/pndm_model_ddim_cifar10/euler/_stage_bundles/nfe_020
three_seed_50k_fid,pndm,cifar10,pndm_model_ddim_cifar10,euler,D-GPDE,20,0,50000,FID,lower_is_better,10.848666,outputs/gpde_pndm_cifar10_50k_nfe10_20_seed0/metrics/gpde_pndm_cifar10_50k_nfe10_20_seed0.csv,outputs/gpde_pndm_cifar10_50k_nfe10_20_seed0/samples/pndm/cifar10/pndm_model_ddim_cifar10/euler/GPDE/nfe_020,outputs/gpde_pndm_cifar10_50k_nfe10_20_seed0/schedules/GPDE/pndm/cifar10/pndm_model_ddim_cifar10/euler/nfe_020
three_seed_50k_fid,pndm,cifar10,pndm_model_ddim_cifar10,euler,base,20,1,50000,FID,lower_is_better,11.117573,outputs/gpde_pndm_cifar10_50k_nfe10_20_seeds1_2/metrics/gpde_pndm_cifar10_50k_nfe10_20_seeds1_2.csv,outputs/gpde_pndm_cifar10_50k_nfe10_20_seeds1_2/samples/pndm/cifar10/pndm_model_ddim_cifar10/euler/base/seed_001/nfe_020,
three_seed_50k_fid,pndm,cifar10,pndm_model_ddim_cifar10,euler,linear,20,1,50000,FID,lower_is_better,11.146963,outputs/gpde_pndm_cifar10_50k_linear_baseline_seeds0_1_2/metrics/gpde_pndm_cifar10_50k_linear_baseline_seeds0_1_2.csv,outputs/gpde_pndm_cifar10_50k_linear_baseline_seeds0_1_2/samples/pndm/cifar10/pndm_model_ddim_cifar10/euler/linear/seed_001/nfe_020,outputs/gpde_pndm_cifar10_50k_linear_baseline_seeds0_1_2/schedules/linear/pndm/cifar10/pndm_model_ddim_cifar10/euler/nfe_020
three_seed_50k_fid,pndm,cifar10,pndm_model_ddim_cifar10,euler,Karras,20,1,50000,FID,lower_is_better,10.544320,outputs/gpde_pndm_cifar10_50k_karras_baseline_seeds0_1_2/metrics/gpde_pndm_cifar10_50k_karras_baseline_seeds0_1_2.csv,outputs/gpde_pndm_cifar10_50k_karras_baseline_seeds0_1_2/samples/pndm/cifar10/pndm_model_ddim_cifar10/euler/karras/seed_001/nfe_020,outputs/gpde_pndm_cifar10_50k_karras_baseline_seeds0_1_2/schedules/karras/pndm/cifar10/pndm_model_ddim_cifar10/euler/nfe_020
three_seed_50k_fid,pndm,cifar10,pndm_model_ddim_cifar10,euler,offline,20,1,50000,FID,lower_is_better,10.771749,outputs/gpde_pndm_cifar10_authorized_offline/metrics/offline_authorized_seed1_nfe20.csv,outputs/gpde_pndm_cifar10_authorized_offline/samples/pndm/cifar10/pndm_model_ddim_cifar10/euler/offline_authorized/seed_001/nfe_020,outputs/gpde_pndm_cifar10_authorized_offline/schedules/offline_authorized/pndm/cifar10/pndm_model_ddim_cifar10/euler/_stage_bundles/nfe_020
three_seed_50k_fid,pndm,cifar10,pndm_model_ddim_cifar10,euler,D-GPDE,20,1,50000,FID,lower_is_better,10.661299,outputs/gpde_pndm_cifar10_50k_nfe10_20_seeds1_2/metrics/gpde_pndm_cifar10_50k_nfe10_20_seeds1_2.csv,outputs/gpde_pndm_cifar10_50k_nfe10_20_seeds1_2/samples/pndm/cifar10/pndm_model_ddim_cifar10/euler/GPDE/seed_001/nfe_020,outputs/gpde_pndm_cifar10_50k_nfe10_20_seeds1_2/schedules/GPDE/pndm/cifar10/pndm_model_ddim_cifar10/euler/seed_1/nfe_020
three_seed_50k_fid,pndm,cifar10,pndm_model_ddim_cifar10,euler,base,20,2,50000,FID,lower_is_better,11.081873,outputs/gpde_pndm_cifar10_50k_nfe10_20_seeds1_2/metrics/gpde_pndm_cifar10_50k_nfe10_20_seeds1_2.csv,outputs/gpde_pndm_cifar10_50k_nfe10_20_seeds1_2/samples/pndm/cifar10/pndm_model_ddim_cifar10/euler/base/seed_002/nfe_020,
three_seed_50k_fid,pndm,cifar10,pndm_model_ddim_cifar10,euler,linear,20,2,50000,FID,lower_is_better,11.114837,outputs/gpde_pndm_cifar10_50k_linear_baseline_seeds0_1_2/metrics/gpde_pndm_cifar10_50k_linear_baseline_seeds0_1_2.csv,outputs/gpde_pndm_cifar10_50k_linear_baseline_seeds0_1_2/samples/pndm/cifar10/pndm_model_ddim_cifar10/euler/linear/seed_002/nfe_020,outputs/gpde_pndm_cifar10_50k_linear_baseline_seeds0_1_2/schedules/linear/pndm/cifar10/pndm_model_ddim_cifar10/euler/nfe_020
three_seed_50k_fid,pndm,cifar10,pndm_model_ddim_cifar10,euler,Karras,20,2,50000,FID,lower_is_better,10.555283,outputs/gpde_pndm_cifar10_50k_karras_baseline_seeds0_1_2/metrics/gpde_pndm_cifar10_50k_karras_baseline_seeds0_1_2.csv,outputs/gpde_pndm_cifar10_50k_karras_baseline_seeds0_1_2/samples/pndm/cifar10/pndm_model_ddim_cifar10/euler/karras/seed_002/nfe_020,outputs/gpde_pndm_cifar10_50k_karras_baseline_seeds0_1_2/schedules/karras/pndm/cifar10/pndm_model_ddim_cifar10/euler/nfe_020
three_seed_50k_fid,pndm,cifar10,pndm_model_ddim_cifar10,euler,offline,20,2,50000,FID,lower_is_better,10.909395,outputs/gpde_pndm_cifar10_authorized_offline/metrics/offline_authorized_seed2_nfe20.csv,outputs/gpde_pndm_cifar10_authorized_offline/samples/pndm/cifar10/pndm_model_ddim_cifar10/euler/offline_authorized/seed_002/nfe_020,outputs/gpde_pndm_cifar10_authorized_offline/schedules/offline_authorized/pndm/cifar10/pndm_model_ddim_cifar10/euler/_stage_bundles/nfe_020
three_seed_50k_fid,pndm,cifar10,pndm_model_ddim_cifar10,euler,D-GPDE,20,2,50000,FID,lower_is_better,10.617530,outputs/gpde_pndm_cifar10_50k_nfe10_20_seeds1_2/metrics/gpde_pndm_cifar10_50k_nfe10_20_seeds1_2.csv,outputs/gpde_pndm_cifar10_50k_nfe10_20_seeds1_2/samples/pndm/cifar10/pndm_model_ddim_cifar10/euler/GPDE/seed_002/nfe_020,outputs/gpde_pndm_cifar10_50k_nfe10_20_seeds1_2/schedules/GPDE/pndm/cifar10/pndm_model_ddim_cifar10/euler/seed_2/nfe_020
