evidence_level,backend,dataset,model,solver,nfe,seed_count,seeds,num_samples,metric,metric_direction,base_fid_mean,base_fid_sem,dgpde_seed_specific_fid_mean,dgpde_seed_specific_fid_sem,dgpde_reuse_seed0_fid_mean,dgpde_reuse_seed0_fid_sem,reuse_minus_seed_specific_fid_mean,reuse_minus_seed_specific_fid_sem,rounded_timesteps_all_equal
actual_seed0_schedule_reuse_50k_fid,pndm,cifar10,pndm_model_ddim_cifar10,euler,10,2,"1,2",50000,FID,lower_is_better,20.491706,0.020685,17.470319,0.053044,17.470319,0.053044,0.000000,0.000000,True
actual_seed0_schedule_reuse_50k_fid,pndm,cifar10,pndm_model_ddim_cifar10,euler,20,2,"1,2",50000,FID,lower_is_better,11.099723,0.017850,10.639415,0.021884,10.639415,0.021884,0.000000,0.000000,True
