evidence_level,backend,dataset,model,solver,method,nfe,seed_count,seeds,num_samples,metric,metric_direction,fid_mean,fid_std,fid_sem,proxy_best_fid,stage_iterations,optimizer_config,optimizer_config_sha256
medium_offline_proxy_5k_smoke_not_paper_grade,pndm,cifar10,pndm_model_ddim_cifar10,euler,offline-proxy-medium,10,3,"0,1,2",5000,FID,lower_is_better,26.763194,0.109614,0.063286,35.973409,4,paper/results/failure/cifar10_medium_offline_proxy_config.yaml,15580405d4e578c372eb6c26baa714af99eb318d338ee3a083e9027e882717c9
medium_offline_proxy_5k_smoke_not_paper_grade,pndm,cifar10,pndm_model_ddim_cifar10,euler,offline-proxy-medium,20,3,"0,1,2",5000,FID,lower_is_better,18.322282,0.054913,0.031704,,6,paper/results/failure/cifar10_medium_offline_proxy_config.yaml,15580405d4e578c372eb6c26baa714af99eb318d338ee3a083e9027e882717c9
